,Date,Audience,Creative_Family,Creative_Version,Platform,Ad_Format,Campaign Traffic,Total_Sessions,Total_Bounces,Total_Duration,Days away from max date,Latest report?,Target_Groups
2270,2022-07-05,5,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,1,0,72,118,0,2
2271,2022-07-11,4,UnfairAdvantage,NaN,User ID Display,Single image,Campaign,11,0,0,112,0,2
2272,2022-05-26,5,CloserTwins,Paperwork,LinkedIn,Video,Campaign,1,0,0,158,0,2
2273,2022-05-29,2,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,2,0,0,155,0,1
2274,2022-07-29,1,CloseFaster,3steps,Facebook,Single image,Campaign,2,0,0,94,0,1
2275,2022-06-15,5,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,10,0,180,138,0,2
2276,2022-08-01,5,CloserTwins,FasterAll,Domain Display,,Campaign,1,0,0,91,0,2
2277,2022-08-17,5,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,13,0,91,75,0,2
2278,2022-08-29,4,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,1,0,0,63,0,2
2279,2022-08-24,5,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,10,0,0,68,0,2
2280,2022-09-30,5,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,4,0,24,31,0,2
2281,2022-05-16,,NaN,NaN,,,General traffic,4387,457,1540089,168,0,
2282,2022-06-17,1,UnfairAdvantage,OnePage,Facebook,Single image,Campaign,1,0,0,136,0,1
2283,2022-07-31,4,CloserTwins,Competitors,Domain Display,,Campaign,7,0,0,92,0,2
2284,2022-10-16,2,CloseFaster,MoreAll,User ID Display,,Campaign,6,0,0,15,0,1
2285,2022-10-27,6,SEM Ads,We Are America's CDFI,Google SEM,CPC,Campaign,1,0,0,4,1,3
2286,2022-08-17,1,UnfairAdvantage,NaN,Domain Display,Single image,Campaign,1,0,0,75,0,1
2287,2022-05-28,5,UnfairAdvantage,OnePage,Domain Display,,Campaign,5,0,14,156,0,2
2288,2022-04-29,4,CloserTwins,MoreAll,LinkedIn,Video,Campaign,1,0,0,185,0,2
2289,2022-04-26,4,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,2,0,0,188,0,2
2290,2022-09-18,4,CloserTwins,Cutdown,Domain Display,Video,Campaign,1,0,0,43,0,2
2291,2022-05-27,6,SEM Ads,CloseMore,Google SEM,CPC,Campaign,4,0,13,157,0,3
2292,2022-08-16,4,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,1,0,0,76,0,2
2293,2022-04-22,5,CloserTwins,CloseMore,Domain Display,,Campaign,3,0,1,192,0,2
2294,2022-08-22,,NaN,Others,,,General traffic,3,0,0,70,0,
2295,2022-05-07,1,UnfairAdvantage,NaN,LinkedIn,Single image,Campaign,1,0,0,177,0,1
2296,2022-10-28,,UnfairAdvantage,NaN,Domain Display,,Campaign,2,0,0,3,1,
2297,2022-07-16,4,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,3,0,0,107,0,2
2298,2022-05-17,4,CloserTwins,Competitors,Domain Display,,Campaign,3,0,0,167,0,2
2299,2022-05-12,1,CloserTwins,Cutdown,LinkedIn,Video,Campaign,1,0,0,172,0,1
2300,2022-10-29,5,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,23,0,0,2,1,2
2301,2022-09-14,4,CloserTwins,MoreAll,User ID Display,,Campaign,34,0,53,47,0,2
2302,2022-07-06,6,CloserTwins,RTB,Trade Media,Inside_mortgage_finance_newsletter,Campaign,8,0,2,117,0,3
2303,2022-10-22,,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,1,0,0,9,1,
2304,2022-05-21,3,CloserTwins,MoreAll,LinkedIn,Video,Campaign,1,0,0,163,0,1
2305,2022-08-14,4,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,1,0,0,78,0,2
2306,2022-04-28,5,CloserTwins,Cutdown,LinkedIn,Video,Campaign,1,0,0,186,0,2
2307,2022-09-30,1,CloseFaster,MoreAll,User ID Display,,Campaign,11,0,0,31,0,1
2308,2022-09-11,4,CloserTwins,MoreAll,User ID Display,,Campaign,28,0,5,50,0,2
2309,2022-07-20,4,CloseFaster,MoreAll,User ID Display,,Campaign,5,0,0,103,0,2
2310,2022-05-19,5,CloseFaster,MoreAll,Domain Display,,Campaign,1,0,0,165,0,2
2311,2022-08-26,1,CloserTwins,Faceoff,Domain Display,,Campaign,2,0,0,66,0,1
2312,2022-09-18,5,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,4,0,0,43,0,2
2313,2022-08-17,1,CloseFaster,3steps,LinkedIn,Single image,Campaign,2,0,0,75,0,1
2314,2022-10-11,4,CloseFaster,FasterAll,User ID Display,,Campaign,124,0,0,20,0,2
2315,2022-05-12,2,CloserTwins,ShapeUp,Facebook,Video,Campaign,1,0,0,172,0,1
