Date,Audience,Target_Group,Creative_Family,Creative_Version,Platform,Ad_Format,Campaign_Traffic,Total_Sessions,Total_Bounces,Total_Duration
23/7/2022,5,2,CloserTwins,Faster,Domain Display,NA,Campaign,1,0,0
8/8/2022,4,2,CloseFaster,MoreAll,User ID Display,NA,Campaign,5,0,0
3/5/2022,3,1,CloserTwins,Faceoff2,Facebook,Video,Campaign,1,0,0
18/9/2022,6,3,SEM Ads,We Are America's CDFI,Google SEM,CPC,Campaign,1,0,0
30/9/2022,2,1,UnfairAdvantage,OnePage,User ID Display,NA,Campaign,10,0,0
20/9/2022,1,1,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,15,0,88
30/8/2022,4,2,CloserTwins,Competitors,Domain Display,NA,Campaign,1,0,0
14/6/2022,1,1,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,1,0,0
27/9/2022,5,2,CloserTwins,CloseMore,Domain Display,NA,Campaign,1,0,0
18/8/2022,6,3,SEM Ads,We Are America's CDFI,Google SEM,CPC,Campaign,5,0,90
3/6/2022,3,1,CloserTwins,Faceoff,Domain Display,NA,Campaign,1,0,0
24/10/2022,4,2,UnfairAdvantage,1099,User ID Display,NA,Campaign,29,0,0
17/10/2022,4,2,CloseFaster,FasterAll,Domain Display,NA,Campaign,1,0,0
2/9/2022,4,2,CloserTwins,Cutdown1B,Domain Display,Video,Campaign,1,0,0
21/4/2022,1,1,CloseFaster,MoreAll,Domain Display,NA,Campaign,2,0,0
13/9/2022,1,1,CloseFaster,FasterAll,User ID Display,NA,Campaign,24,0,16
27/4/2022,4,2,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,3,0,0
23/9/2022,5,2,CloseFaster,3steps,LinkedIn,Single image,Campaign,2,0,0
16/9/2022,5,2,CloseFaster,MoreAll,Domain Display,NA,Campaign,5,0,15
25/4/2022,2,1,CloserTwins,Competitors,Domain Display,NA,Campaign,1,0,0
20/7/2022,4,2,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,6,0,0
22/9/2022,1,1,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,1,0,0
19/10/2022,NA,NA,CloserTwins,Faster,Domain Display,NA,Campaign,1,0,0
11/7/2022,5,2,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,6,0,0
21/7/2022,3,1,CloserTwins,Cutdown1B,Facebook,Video,Campaign,1,0,0
19/4/2022,1,1,CloseFaster,3steps,LinkedIn,Single image,Campaign,4,0,0
18/5/2022,5,2,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,11,0,1131
1/9/2022,4,2,CloseFaster,FasterAll,User ID Display,NA,Campaign,2,0,0
3/8/2022,3,1,CloseFaster,FasterAll,User ID Display,NA,Campaign,12,0,0
7/9/2022,4,2,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,14,0,0
13/8/2022,5,2,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,6,0,167
11/9/2022,2,1,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,17,0,41
14/8/2022,3,1,CloserTwins,MoreLoans,Facebook,Video,Campaign,1,0,0
8/5/2022,4,2,CloserTwins,Paperwork,LinkedIn,Video,Campaign,2,0,0
23/9/2022,5,2,CloseFaster,FasterAll,Domain Display,NA,Campaign,1,0,0
27/6/2022,NA,NA,NA,NA,NA,NA,General traffic,2925,416,929651
21/4/2022,4,2,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,1,0,0
22/5/2022,5,2,CloserTwins,Cutdown1A,LinkedIn,Video,Campaign,2,0,0
29/4/2022,5,2,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,2,0,152
